,Date,Uncleaned,Cleaned
128,4/25/2020 10:14,b'@OwenPaterson @MPIainDS The rise of this evil CCP regime didn\xe2\x80\x99t just happen overnight. Ppl  need to stop empowering\xe2\x80\xa6 https://t.co/jU26MPCYwh',b owenpaterson mpiaind rise evil ccp regim xe x x happen overnight ppl need stop empow xe x xa http co ju mpcywh
129,4/25/2020 10:03,"b'TWO new cases...,BOTH TRAVEL-RELATED: hashtags ONE-SEVEN in hashtag EIGHT (April 25, 2020; 18:00 HKT)\xe2\x80\xa6 https://t.co/YXLcCYCrjM'",b two new case travel relat hashtag one seven hashtag eight april hkt xe x xa http co yxlccycrjm
130,4/25/2020 9:47,b'@DigiDiva2020 Our @POTUS is batting a three headed monster today:\n1. #WuhanCoronaVirus \n2. #Democrats \n3. #FakeNews\xe2\x80\xa6 https://t.co/P6FdUaESRK',b digidiva potu bat three head monster today n wuhancoronaviru n democrat n fakenew xe x xa http co p fduaesrk
131,4/25/2020 9:43,b'@CNN Our @POTUS is batting a three headed monster today:\n1. #WuhanCoronaVirus \n2. #Democrats \n3. #FakeNews \n\nLet\xe2\x80\x99s\xe2\x80\xa6 https://t.co/QR4Opi20xy',b cnn potu bat three head monster today n wuhancoronaviru n democrat n fakenew n nlet xe x x xe x xa http co qr opi xy
132,4/25/2020 9:40,b'@tribelaw Our @POTUS is batting a three headed monster today:\n1. #WuhanCoronaVirus \n2. #Democrats \n3. #FakeNews \n\nL\xe2\x80\xa6 https://t.co/hNELmpKAPX',b tribelaw potu bat three head monster today n wuhancoronaviru n democrat n fakenew n nl xe x xa http co hnelmpkapx
133,4/25/2020 9:40,b'@JackPosobiec Our @POTUS is batting a three headed monster today:\n1. #WuhanCoronaVirus \n2. #Democrats \n3. #FakeNews\xe2\x80\xa6 https://t.co/UJAniHIm5Q',b jackposobiec potu bat three head monster today n wuhancoronaviru n democrat n fakenew xe x xa http co ujanihim q
134,4/25/2020 9:38,b'@JoyAnnReid Our @POTUS is batting a three headed monster today:\n1. #WuhanCoronaVirus \n2. #Democrats \n3. #FakeNews\xe2\x80\xa6 https://t.co/sQDkaxSLgL',b joyannreid potu bat three head monster today n wuhancoronaviru n democrat n fakenew xe x xa http co sqdkaxslgl
135,4/25/2020 9:38,b'@maddow Our @POTUS is batting a three headed monster today:\n1. #WuhanCoronaVirus \n2. #Democrats \n3. #FakeNews \n\nLet\xe2\x80\xa6 https://t.co/lak7GO2d1I',b maddow potu bat three head monster today n wuhancoronaviru n democrat n fakenew n nlet xe x xa http co lak go
136,4/25/2020 9:30,b'@HuXijin_GT #CCPChina has a hard time getting rid of the accusations. Why? It is because they are the root cause of the #WuhanCoronaVirus.',b huxijin gt ccpchina hard time get rid accu whi root cau wuhancoronaviru
137,4/25/2020 9:25,b'@NeilUKIP #WuhanCoronavirus is come from Wuhan Lab. #BoycottChina',b neilukip wuhancoronaviru come wuhan lab boycottchina
138,4/25/2020 9:03,b'@JasonSm39383517 @mysticxxy @leowang53668121 @SpokespersonCHN Well thank you for your concern my genius friend..  I\xe2\x80\xa6 https://t.co/B2ox0qxrxu',b jasonsm mysticxxi leowang spokespersonchn well thank concern geniu friend xe x xa http co b ox qxrxu
139,4/25/2020 9:01,b'@DrTedros Shut up and resign. #TedrosLiedPeopleDied #TedrosOut #TedrosResign #WuhanHealthOrganisation\xe2\x80\xa6 https://t.co/UpjVbtZMoU',b drtedro shut resign tedrosliedpeopledi tedrosout tedrosresign wuhanhealthorgani xe x xa http co upjvbtzmou
140,4/25/2020 8:40,"b""But #chinazi couldn't care less! Even after killing millions #ChinaLiedPeopleDied is mum about it. Doesn't care at\xe2\x80\xa6 https://t.co/oku1iZMTtz""",b chinazi care le even kill million chinaliedpeopledi mum care xe x xa http co oku izmttz
141,4/25/2020 8:23,"b""@mithuna_khon I agree with you. But the fact is it's generally a one way street. There's no easy way to dress it up\xe2\x80\xa6 https://t.co/SIIEUdXqQW""",b mithuna khon agr fact gener one way street easi way dress xe x xa http co siieudxqqw
142,4/25/2020 8:20,b'Govt shd decide if #COVID #Corona is a public health emergency or Law &amp; Order problem. Are infected persons crimina\xe2\x80\xa6 https://t.co/G3EIIrCTTJ',b govt shd decid covid corona public health emerg law amp order problem infect person crimina xe x xa http co g eiircttj
143,4/25/2020 8:19,b'@LegalLro @HMOIndia @MoHFW_INDIA @PoliceKurnool @kurnoolgoap @lawinforce @AndhraPradeshCM @ysjagan @YSRCParty Hey t\xe2\x80\xa6 https://t.co/FPzptSfjMj',b legallro hmoindia mohfw india policekurnool kurnoolgoap lawinforc andhrapradeshcm ysjagan ysrcparti hey xe x xa http co fpzptsfjmj
144,4/25/2020 8:17,b'Accurate af! #China #ChinaLiedPeopleDied #ChineseVirus #WuhanChinaVirus #WuhanCoronaVirus #MSMFakeNews #MSM\xe2\x80\xa6 https://t.co/KEQGm7GyQD',b accur af china chinaliedpeopledi chineseviru wuhanchinaviru wuhancoronaviru msmfakenew msm xe x xa http co keqgm gyqd
