,Date,Uncleaned,Cleaned
59,4/25/2020 15:17,b'@DeepSouthProud Oh my God yes!! I\xe2\x80\x99m so damn sick of the sappy crap &amp; there\xe2\x80\x99s no doubt written by Democrats! Can\xe2\x80\x99t s\xe2\x80\xa6 https://t.co/y5HV32FH4Y',b deepsouthproud oh god ye xe x x damn sick sappi crap amp xe x x doubt written democrat xe x x xe x xa http co hv fh
60,4/25/2020 15:17,b'@realDonaldTrump @TripleH Seems like #Bhurakaka has found a new Circus Wrestling Warrior #TrippleH to fight against #WuhanCoronaVirus',b realdonaldtrump tripleh seem like bhurakaka found new circu wrestl warrior trippleh fight wuhancoronaviru
61,4/25/2020 15:12,b'@TeamCavuto just wait until the families of the elderly who passed away from #WuhanCoronaVirus find out #Cuomo refu\xe2\x80\xa6 https://t.co/lATOOd9e7X',b teamcavuto wait famili elderli pa away wuhancoronaviru find cuomo refu xe x xa http co latood e x
62,4/25/2020 15:07,b'It is definitely a War which may be a precursor to the World War 3. \n\nWorld needs to decrease its dependence on Chi\xe2\x80\xa6 https://t.co/soRtFJcNGY',b definit war may precursor world war n nworld need decrea depend chi xe x xa http co sortfjcngi
63,4/25/2020 15:03,"b'We the People need to take our liberty, rights and Country back from oppressive, authoritarian government. We gave\xe2\x80\xa6 https://t.co/IZaIjIgcB6'",b peopl need take liberti right countri back oppress authoritarian govern gave xe x xa http co izaijigcb
64,4/25/2020 14:55,b'Do you know if there are any #twitterconferences in theology because of cancelled conference plans? \n\n#phdchat\xe2\x80\xa6 https://t.co/V9CMGdP6f6',b know twitterconf theolog cancel confer plan n nphdchat xe x xa http co v cmgdp f
65,4/25/2020 14:52,b'@WPReview What does it take for the world to finally draw a line &amp; say enough is enough of china assault on human r\xe2\x80\xa6 https://t.co/J3qErhe2T4',b wpreview take world final draw line amp say enough enough china assault human r xe x xa http co j qerh
66,4/25/2020 14:34,b'CNN continues to retweet their blatant misrepresentation of the study and now it has been picked up by dozens of ot\xe2\x80\xa6 https://t.co/gQ6yp03D4S',b cnn continu retweet blatant misrepres studi pick dozen ot xe x xa http co gq yp
67,4/25/2020 14:33,b'@globaltimesnews @WHO The #Chinese Communist Party\xe2\x80\x99s own medical records show the first case was reported in Wuhan\xe2\x80\xa6 https://t.co/TRa6K4YVzZ',b globaltimesnew chine communist parti xe x x medic record show first case report wuhan xe x xa http co tra k yvzz
68,4/25/2020 14:24,b'@jwassers @TheEconomist Thuggish CCP is using #WuhanCoronaVirus as cover to crack down &amp; politically arrest HK demo\xe2\x80\xa6 https://t.co/gL4ar8bK9R',b jwasser theeconomist thuggish ccp use wuhancoronaviru cover crack amp polit arrest hk demo xe x xa http co gl ar bk r
69,4/25/2020 14:24,b'@starvancouver Thuggish CCP is using #WuhanCoronaVirus as cover to crack down &amp; politically arrest HK democratic ac\xe2\x80\xa6 https://t.co/OtDjv81vPI',b starvancouv thuggish ccp use wuhancoronaviru cover crack amp polit arrest hk democrat ac xe x xa http co otdjv vpi
70,4/25/2020 14:24,b'@cnalive Thuggish CCP is using #WuhanCoronaVirus as cover to crack down &amp; politically arrest HK democratic activist\xe2\x80\xa6 https://t.co/itBxPaM4Fh',b cnaliv thuggish ccp use wuhancoronaviru cover crack amp polit arrest hk democrat activist xe x xa http co itbxpam fh
71,4/25/2020 14:22,b'@feingold32 Exactly. Not like #WuhanCoronaVirus = Sickle Cell. Non Genetic. Blacks collectively engaging in behavio\xe2\x80\xa6 https://t.co/kN4CNE0v4A',b feingold exactli like wuhancoronaviru sickl cell non genet black collect engag behavio xe x xa http co kn cne v
72,4/25/2020 14:15,"b'China has bought a lot of ill will in this pandemic from faulty kits to faulty PPEs to Europe, criminal negligence\xe2\x80\xa6 https://t.co/24HkFD9HDH'",b china bought lot ill pandem faulti kit faulti ppe europ crimin neglig xe x xa http co hkfd hdh
73,4/25/2020 14:13,b'china regard the out break of #WuhanCoronaVirus as a good chance to suppress hong Kong democracy movement.\xe2\x80\xa6 https://t.co/IqD1ZjUKc3',b china regard break wuhancoronaviru good chanc suppress hong kong democraci movement xe x xa http co iqd zjukc
74,4/25/2020 14:13,b'You have to give it to Americans for the heroic effort they have put on #WuhanCoronaVirus ! They are now providing\xe2\x80\xa6 https://t.co/2igqChBpQ2',b give american heroic effort put wuhancoronaviru provid xe x xa http co igqchbpq
75,4/25/2020 14:08,b'china spread the #WuhanCoronaVirus to the world.... and claim himself as hero? ridiculous \n#ChinaLiedPeopleDied https://t.co/BZj9lEXk1i',b china spread wuhancoronaviru world claim hero ridicul nchinaliedpeopledi http co bzj lexk
76,4/25/2020 13:57,b'#FollowTheMoney on #WuhanCoronaVirus deaths... https://t.co/p6Fg0fo2Qm',b followthemoney wuhancoronaviru death http co p fg fo qm
77,4/25/2020 13:57,b'@Jkylebass @globaltimesnews Make it simple but correct Sir. It could be called WuhanHOrseVirus. WHOvirus.\xe2\x80\xa6 https://t.co/CbZLtCPQYz',b jkylebass globaltimesnew make simpl correct sir could call wuhanhorseviru whoviru xe x xa http co cbzltcpqyz
78,4/25/2020 13:53,b'I thought \xe2\x80\x9ccommon sense from the NYT?!\xe2\x80\x9d Oh! Of course it\xe2\x80\x99s from a \xe2\x80\x9cConservative\xe2\x80\x9d. LoL! \n\n#COVID\xe2\x80\xa6 https://t.co/Aw8XP5XPCB',b thought xe x x ccommon sen nyt xe x x oh cour xe x x xe x x cconserv xe x x lol n ncovid xe x xa http co aw xp xpcb
79,4/25/2020 13:53,b'Anonymous sources &amp; wish casting\n\nThe #WuhanCoronaVirus will get the Bad Orange Man! https://t.co/9zxt5o9C97',b anonym sourc amp wish cast n nthe wuhancoronaviru get bad orang man http co zxt c
80,4/25/2020 13:16,b'@WHO @WHOAFRO @WHOEMRO @WHO_Europe @pahowho @WHOSEARO @WHOWPRO CHO namely WHO says..There is currently no evidence\xe2\x80\xa6 https://t.co/OuL5Hv8KsC',b whoafro whoemro europ pahowho whosearo whowpro cho name say current evid xe x xa http co oul hv ksc
81,4/25/2020 13:12,b'@doamuslims @ImranKhanPTI Ccp is obviously greedy. \n\n#WUhanvirus\n#WuhanCoronaVirus\n#WUhanVirusDisease\n#WUvid\n#WUhanFlu\n#WuhanPneumonia',b doamuslim imrankhanpti ccp obviou greedi n nwuhanviru nwuhancoronaviru nwuhanvirusdisea nwuvid nwuhanflu nwuhanpneumonia
82,4/25/2020 13:10,b'1 Peter ... Required reading \n\n#WuhanCoronaVirus \n#COVID19 \n#ChineseVirus19 \n\n\xf0\x9f\x99\x8f ... Be encouraged ... \xf0\x9f\x94\xa5',b peter requir read n nwuhancoronaviru ncovid nchineseviru n n xf x f x x f encourag xf x f x xa
83,4/25/2020 13:09,b'So #TestingTestingTesting is now being undermined by #FakeNews.\n\nTesting proves #WuhanCoronaVirus has been here sin\xe2\x80\xa6 https://t.co/qm1wqA1K29',b testingtestingtest undermin fakenew n ntest prove wuhancoronaviru sin xe x xa http co qm wqa k
84,4/25/2020 13:07,"b'@weijia @VP #WuhanCoronaVirus was Chinese born, Chinese borne, and Chinese spread.  \n\nWho was dispatched to infect\xe2\x80\xa6 https://t.co/geWoEnkaDy'",b weijia vp wuhancoronaviru chine born chine born chine spread n nwho dispatch infect xe x xa http co gewoenkadi
85,4/25/2020 13:02,"b'\xe2\x80\xa6a more uncertain &amp; false reality powered by the MEGA false Media.\n\nCheck yourself and ask, why hasn\xe2\x80\x99t anything on\xe2\x80\xa6 https://t.co/eCZwinMi0h'",b xe x xa uncertain amp fal realiti power mega fal medium n ncheck ask xe x x anyth xe x xa http co eczwinmi h
86,4/25/2020 12:57,b'@ExogenesisHH @AnaCabrera #ChineseBioterrorism \n#WuhanCoronaVirus is perfectly designed #DesignerVirus at #Wuhan la\xe2\x80\xa6 https://t.co/ntqUHDmXxg',b exogenesishh anacabrera chinesebioterror nwuhancoronaviru perfectli design designerviru wuhan la xe x xa http co ntquhdmxxg
87,4/25/2020 12:46,"b""@hvLiao @anderscorr @12emma30 Awesome \xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\nDont stop to give the correct name. It's definitelye not racist. It's\xe2\x80\xa6 https://t.co/QVOMZtQ1u3""",b hvliao anderscorr emma awesom xf x f xa xa xf x f xa xa xf x f xa xa xf x f xa xa xf x f xa xa xf x f xa xa xf x f xa xa ndont stop give correct name definit racist xe x xa http co qvomztq u
88,4/25/2020 12:42,b'@12emma30 Greedy\n#WUhanvirus\n#WuhanCoronaVirus\n#WUhanVirusDisease\n#WUvid\n#WUhanFlu\n#WuhanPneumonia',b emma greedi nwuhanviru nwuhancoronaviru nwuhanvirusdisea nwuvid nwuhanflu nwuhanpneumonia
89,4/25/2020 12:37,b'@jenniferatntd I still monitor Mam. That news is not well-confirmed yet. But it is correct to pick name #WUhanvirus\xe2\x80\xa6 https://t.co/Dm3YVjW85n',b jenniferatntd still monitor mam news well confirm yet correct pick name wuhanviru xe x xa http co dm yvjw n
90,4/25/2020 12:35,b'@Urmaspaet @EU_Commission China dream is to be the world no one. CCP through #WuhanCoronaVirus to threat medical su\xe2\x80\xa6 https://t.co/8dfF3BBuHC',b urmaspaet eu commiss china dream world one ccp wuhancoronaviru threat medic su xe x xa http co dff bbuhc
91,4/25/2020 12:35,b'This is what life looks like if our #1 priority is to contain the #ChinaVirus #WuhanCoronaVirus Is this what we wan\xe2\x80\xa6 https://t.co/1OTgQSeIHP',b thi life look like prioriti contain chinaviru wuhancoronaviru wan xe x xa http co otgqseihp
92,4/25/2020 12:34,b'Humanity will rise and we will beat this #ChineseVirus19 #COVID #WuhanCoronaVirus https://t.co/wMsh3BR3So',b human rise beat chineseviru covid wuhancoronaviru http co wmsh br
93,4/25/2020 12:31,b'@globaltimesnews The Chinasal entry point!\nI thought that the #WuhanCoronaVirus always tries to go in through the b\xe2\x80\xa6 https://t.co/2ssJH4gasR',b globaltimesnew china entri point ni thought wuhancoronaviru alway tri go b xe x xa http co ssjh gasr
94,4/25/2020 12:27,"b""This sounds like a cause for Oxford to kick your butt to the curb.  Insane.  You'd rather people continue to die th\xe2\x80\xa6 https://t.co/QT9GN4wsZH""",b thi sound like cau oxford kick butt curb insan rather peopl continu die th xe x xa http co qt gn wszh
95,4/25/2020 12:27,b'THE TRUTH about #WuhanCoronaVirus \n\nhttps://t.co/Iz4xDcl4MX',b truth wuhancoronaviru n nhttp co iz xdcl mx
96,4/25/2020 12:18,"b'@CatholicHerald Thanks to #CCP ,they genuinely offer us\n\n#WuhanCoronaVirus \n#FakeNews \n#censorship\nAttacks against\xe2\x80\xa6 https://t.co/6Rtw3UWcTy'",b catholicherald thank ccp genuin offer u n nwuhancoronaviru nfakenew ncensorship nattack xe x xa http co rtw uwcti
97,4/25/2020 12:11,b'Corona to all humans right now.\n\n#Covid_19 \n#ChineseVirus19 \n#WuhanCoronaVirus \n#CoronaPandemic https://t.co/8TXGm6DqCL',b corona human right n ncovid nchineseviru nwuhancoronaviru ncoronapandem http co txgm dqcl
98,4/25/2020 12:09,b'Cyclist who confronted Chris Cuomo speaks out: He was like a boiling pot https://t.co/tCoTnGlTVo\n#WuhanCoronaVirus\xe2\x80\xa6 https://t.co/RQa2gbN0BS',b cyclist confront chri cuomo speak like boil pot http co tcotngltvo nwuhancoronaviru xe x xa http co rqa gbn b
99,4/25/2020 12:07,"b'@ChrisCuomo you are a fake, phony, and a FRAUD.  U should be arrested for knowingly spreading the #WuhanCoronaVirus. https://t.co/glfSLkV4ro'",b chriscuomo fake phoni fraud u arrest knowingli spread wuhancoronaviru http co glfslkv ro
100,4/25/2020 12:06,b'@BarackObama @MBK_Alliance What exactly are you talking about! How did the #WuhanCoronaVirus expose racism in Ameri\xe2\x80\xa6 https://t.co/GJuXMxWhn9',b barackobama mbk allianc exactli talk wuhancoronaviru expo racism ameri xe x xa http co gjuxmxwhn
101,4/25/2020 12:01,b'@marklevinshow #Cuomo made the #NY nursing facilities take in elderly patients discharged from area hospitals with #WuhanCoronaVirus.',b marklevinshow cuomo made ny nur facil take elderli patient discharg area hospit wuhancoronaviru
102,4/25/2020 11:59,b'@Cernovich Can you imagine what it would mean if the #WuhanCoronaVirus death numbers from China were correct?',b cernovich imagin would mean wuhancoronaviru death number china correct
103,4/25/2020 11:57,b'@nowthisnews Oh God. Its all about #WUhanvirus\n#WuhanCoronaVirus\n#WUhanVirusDisease\n#WUvid\n#WUhanFlu\n#WuhanPneumonia',b nowthisnew oh god wuhanviru nwuhancoronaviru nwuhanvirusdisea nwuvid nwuhanflu nwuhanpneumonia
